bowler,matches,total_runs_conceded,total_balls_bowled,total_illegal_deliveries,total_wides,total_no_balls,total_legal_deliveries,avg_runs_conceded,total_wickets,bowled,lbw,caught,stumped,others,total_overs,economy,motm_count,purple_caps
CK Langeveldt,7,199,165,9,8,1,156,28.428571428571427,13,1.0,1.0,11.0,0.0,0.0,26,7.653846153846154,0,0
CL White,6,86,46,4,4,0,42,14.333333333333334,1,0.0,0.0,1.0,0.0,0.0,7,12.285714285714286,1,0
CR Brathwaite,16,384,266,12,9,3,254,24.0,13,2.0,0.0,11.0,0.0,0.0,44,8.727272727272727,1,0
CR Woakes,21,674,463,23,22,1,440,32.095238095238095,30,5.0,1.0,23.0,0.0,1.0,74,9.108108108108109,0,0
CRD Fernando,10,306,249,15,11,4,234,30.6,17,2.0,1.0,13.0,0.0,1.0,39,7.846153846153846,1,0
CV Varun,42,1186,992,19,14,5,973,28.238095238095237,42,10.0,5.0,23.0,3.0,1.0,162,7.320987654320987,2,0
D Brevis,1,8,3,0,0,0,3,8.0,1,0.0,1.0,0.0,0.0,0.0,1,8.0,0,0
D Kalyankrishna,3,88,50,2,2,0,48,29.333333333333332,2,0.0,0.0,2.0,0.0,0.0,8,11.0,0,0
D Pretorius,6,213,138,12,12,0,126,35.5,6,0.0,1.0,5.0,0.0,0.0,21,10.142857142857142,0,0
D Salunkhe,5,80,51,4,3,1,47,16.0,1,0.0,0.0,0.0,1.0,0.0,8,10.0,0,0
D Wiese,14,409,289,11,10,1,278,29.214285714285715,16,1.0,1.0,13.0,0.0,1.0,47,8.702127659574469,0,0
D du Preez,2,56,43,1,0,1,42,28.0,4,0.0,0.0,4.0,0.0,0.0,7,8.0,0,0
DA Warner,1,2,2,1,1,0,1,2.0,0,,,,,,1,2.0,18,0
DAJ Bracewell,1,32,25,1,1,0,24,32.0,3,1.0,0.0,2.0,0.0,0.0,4,8.0,0,0
DB Ravi Teja,2,28,18,0,0,0,18,14.0,1,0.0,0.0,1.0,0.0,0.0,3,9.333333333333334,0,0
DE Bollinger,27,716,600,24,22,2,576,26.51851851851852,38,8.0,1.0,26.0,0.0,3.0,97,7.381443298969073,2,0
DG Nalkande,2,59,33,2,2,0,31,29.5,2,0.0,0.0,2.0,0.0,0.0,6,9.833333333333334,0,0
DJ Bravo,158,4436,3296,176,167,9,3120,28.075949367088608,183,21.0,8.0,143.0,0.0,11.0,527,8.417457305502847,4,2
DJ Harris,2,26,18,0,0,0,18,13.0,0,,,,,,3,8.666666666666666,0,0
DJ Hooda,30,505,359,10,10,0,349,16.833333333333332,10,1.0,0.0,8.0,1.0,0.0,59,8.559322033898304,1,0
DJ Hussey,26,485,323,6,6,0,317,18.653846153846153,8,1.0,0.0,6.0,1.0,0.0,53,9.150943396226415,2,0
DJ Mitchell,2,27,13,1,1,0,12,13.5,0,,,,,,2,13.5,0,0
DJ Muthuswami,6,108,84,0,0,0,84,18.0,4,0.0,1.0,3.0,0.0,0.0,14,7.714285714285714,0,0
DJ Thornely,4,40,44,2,2,0,42,10.0,3,0.0,0.0,2.0,0.0,1.0,7,5.714285714285714,0,0
DJ Willey,7,171,127,1,1,0,126,24.428571428571427,3,1.0,0.0,2.0,0.0,0.0,21,8.142857142857142,0,0
DJG Sammy,19,354,244,8,6,2,236,18.63157894736842,11,5.0,0.0,6.0,0.0,0.0,40,8.85,1,0
DJM Short,2,23,18,0,0,0,18,11.5,1,0.0,0.0,1.0,0.0,0.0,3,7.666666666666667,0,0
DL Chahar,63,1739,1385,61,56,5,1324,27.603174603174605,59,11.0,8.0,38.0,0.0,2.0,222,7.833333333333333,2,0
DL Vettori,34,894,785,8,8,0,777,26.294117647058822,28,7.0,4.0,15.0,2.0,0.0,131,6.824427480916031,1,0
DNT Zoysa,3,100,69,3,1,2,66,33.333333333333336,2,0.0,0.0,1.0,0.0,1.0,11,9.090909090909092,0,0
DP Nannes,29,815,689,43,39,4,646,28.103448275862068,28,5.0,2.0,20.0,0.0,1.0,109,7.477064220183486,1,0
DP Vijaykumar,9,205,159,7,5,2,152,22.77777777777778,4,0.0,0.0,4.0,0.0,0.0,26,7.884615384615385,0,0
DR Sams,16,528,389,29,27,2,360,33.0,14,0.0,1.0,13.0,0.0,0.0,60,8.8,1,0
DR Smith,46,825,557,18,14,4,539,17.934782608695652,26,8.0,2.0,16.0,0.0,0.0,90,9.166666666666666,11,0
DS Kulkarni,92,2513,1876,89,82,7,1787,27.315217391304348,86,12.0,2.0,68.0,0.0,4.0,299,8.404682274247492,0,0
DT Christian,49,1218,922,39,36,3,883,24.857142857142858,38,8.0,3.0,25.0,0.0,2.0,148,8.22972972972973,0,0
DW Steyn,95,2583,2282,100,93,7,2182,27.189473684210526,97,26.0,6.0,62.0,0.0,3.0,364,7.096153846153846,5,0
F du Plessis,1,16,6,0,0,0,6,16.0,0,,,,,,1,16.0,7,0
FA Allen,4,136,91,1,1,0,90,34.0,2,0.0,1.0,1.0,0.0,0.0,15,9.066666666666666,0,0
FH Edwards,6,160,150,10,9,1,140,26.666666666666668,5,1.0,1.0,3.0,0.0,0.0,24,6.666666666666667,0,0
FY Fazal,2,20,12,0,0,0,12,10.0,0,,,,,,2,10.0,0,0
Fazalhaq Farooqi,3,110,76,4,4,0,72,36.666666666666664,2,2.0,0.0,0.0,0.0,0.0,12,9.166666666666666,0,0
GB Hogg,21,585,466,8,7,1,458,27.857142857142858,23,5.0,2.0,11.0,5.0,0.0,77,7.597402597402597,0,0
GC Viljoen,6,229,146,8,8,0,138,38.166666666666664,7,1.0,1.0,5.0,0.0,0.0,23,9.956521739130435,0,0
GD McGrath,14,366,329,5,4,1,324,26.142857142857142,12,1.0,1.0,10.0,0.0,0.0,54,6.777777777777778,1,0
GD Phillips,2,20,13,1,1,0,12,10.0,1,0.0,0.0,1.0,0.0,0.0,2,10.0,0,0
GH Vihari,6,48,43,1,1,0,42,8.0,1,0.0,0.0,1.0,0.0,0.0,7,6.857142857142857,2,0
GHS Garton,5,136,97,7,5,2,90,27.2,3,0.0,0.0,3.0,0.0,0.0,15,9.066666666666666,0,0
